tours,best_length
5,304480
10,281307
15,279593
20,279593
25,279593
30,279593
35,279593
40,279593
45,279593
50,279593
55,279593
60,279257
65,279257
70,279257
75,278943
80,278943
85,278943
90,270809
95,270809
100,270809
105,270809
110,270809
115,270809
120,270809
125,270809
130,270809
135,270809
140,270809
145,270809
150,270809
155,270809
160,270809
165,270809
170,270809
175,270809
180,270809
185,270809
190,270809
195,270809
200,270809
205,270809
210,270809
215,270809
220,270809
225,270809
230,270809
235,270809
240,270809
245,270809
250,270809
255,261974
260,261974
265,260663
270,257073
275,257073
280,255931
285,242753
290,219410
295,214140
300,213692
305,199299
310,182420
315,146561
320,145708
325,133237
330,122481
335,111451
340,102721
345,92165
350,80212
355,80212
360,80212
365,73710
370,73710
375,66119
380,66119
385,66119
390,64506
395,62676
400,62676
405,62676
410,62676
415,59660
420,59660
425,59660
430,59660
435,59660
440,59660
445,59496
450,58493
455,58301
460,58301
465,58301
470,57217
475,52340
480,52340
485,52340
490,52340
495,52340
500,52340
