tours,best_length
10,498645
20,490026
30,490026
40,487873
50,487873
60,485395
70,485395
80,485395
90,485395
100,483476
110,483476
120,483476
130,483476
140,483476
150,483476
160,483476
170,483476
180,483476
190,483476
200,483476
210,483476
220,483476
230,483476
240,483476
250,483476
260,483476
270,483476
280,483476
290,483476
300,483476
310,483476
320,483476
330,483476
340,483476
350,483476
360,483476
370,483476
380,483476
390,483476
400,483476
410,483476
420,483476
430,483476
440,483476
450,483476
460,483476
470,483476
480,483476
490,483476
500,483476
