tours,best_length
10,15274
20,14148
30,14148
40,14148
50,13282
60,13282
70,13282
80,13282
90,12258
100,12258
110,12258
120,12258
130,12258
140,12258
150,12258
160,12258
170,12258
180,12258
190,12258
200,12258
210,12258
220,12258
230,12258
240,12258
250,12258
260,12258
270,12258
280,12258
290,12258
300,12258
310,12258
320,12258
330,12258
340,12258
350,12258
360,12258
370,12258
380,12258
390,12258
400,12258
410,12258
420,12258
430,12258
440,12258
450,12258
460,12258
470,12258
480,12258
490,12258
500,12258
