tours,best_length
10,280684
20,279630
30,279630
40,279630
50,274285
60,274285
70,274285
80,274285
90,273411
100,273411
110,269219
120,240355
130,182347
140,120887
150,95947
160,74760
170,65979
180,65979
190,65979
200,65767
210,65767
220,65137
230,65137
240,65137
250,65137
260,63728
270,63619
280,63619
290,63619
300,63619
310,63619
320,62567
330,62567
340,62567
350,62567
360,62567
370,62567
380,62567
390,62567
400,62567
410,62567
420,62567
430,62567
440,62567
450,62491
460,61220
470,61220
480,61220
490,61220
500,61220
