tours,best_length
10,280684
20,137669
30,95154
40,72774
50,64497
60,60924
70,57340
80,53399
90,52836
100,51015
110,51015
120,48167
130,48167
140,46902
150,46902
160,45751
170,45275
180,45275
190,45275
200,44934
210,44934
220,44864
230,44864
240,44864
250,44474
260,44474
270,43546
280,42624
290,42624
300,42624
310,42327
320,42327
330,42327
340,42327
350,42327
360,42327
370,41196
380,41196
390,41196
400,41196
410,41196
420,41196
430,41196
440,41196
450,41196
460,41196
470,41196
480,41196
490,41196
500,41196
