tours,best_length
5,12040
10,10632
15,10632
20,9827
25,9827
30,9827
35,9827
40,9827
45,9827
50,9827
55,9827
60,9827
65,9827
70,9827
75,9827
80,9827
85,9827
90,9827
95,9827
100,9827
105,9827
110,9827
115,9827
120,9827
125,9827
130,9802
135,9802
140,9802
145,9802
150,9802
155,9802
160,9802
165,9802
170,9802
175,9621
180,9621
185,9621
190,8415
195,8415
200,8415
205,8415
210,8415
215,8415
220,8415
225,8415
230,8415
235,8415
240,8415
245,8415
250,8415
255,8002
260,8002
265,8002
270,8002
275,8002
280,8002
285,8002
290,8002
295,7976
300,7976
305,7976
310,7976
315,7976
320,7809
325,7809
330,7809
335,7809
340,7809
345,7809
350,7809
355,7809
360,7809
365,7809
370,7809
375,7577
380,7577
385,7577
390,7577
395,7577
400,7577
405,7577
410,7577
415,7577
420,7577
425,7577
430,7577
435,7577
440,7577
445,7577
450,7577
455,7577
460,7577
465,7577
470,7577
475,7577
480,7577
485,7577
490,7577
495,7577
500,7577
