tours,best_length
5,11328
10,10508
15,10508
20,10508
25,9321
30,9321
35,9321
40,9321
45,9321
50,9321
55,9321
60,9321
65,9321
70,9321
75,9321
80,9321
85,9321
90,9321
95,8570
100,8027
105,8027
110,8027
115,8027
120,8027
125,8027
130,8027
135,8027
140,8027
145,8027
150,8027
155,8027
160,8027
165,7909
170,7909
175,7909
180,7909
185,7909
190,7909
195,7909
200,7909
205,7909
210,7909
215,7909
220,7909
225,7909
230,7909
235,7899
240,7899
245,7899
250,7729
255,7729
260,7729
265,7729
270,7729
275,7729
280,7729
285,7729
290,7729
295,7729
300,7729
305,7729
310,7729
315,7729
320,7729
325,7729
330,7729
335,7729
340,7729
345,7729
350,7729
355,7729
360,7729
365,7729
370,7729
375,7729
380,7729
385,7729
390,7729
395,7729
400,7729
405,7729
410,7729
415,7460
420,7460
425,7460
430,7460
435,7460
440,7460
445,7460
450,7460
455,7460
460,7460
465,7460
470,7460
475,7460
480,7460
485,7460
490,7460
495,7460
500,7460
